tweets,replies,retweets,quotes,likes,impressions,profile clicks,link clicks,engagement rate,score,
"A lot of high volume alerts popping up for $BTC & $ETH $BTC 23'634 $ETH $1'659Volatility incoming. pic.twitter.com/az5qJIGrSz Feb 2, 2023",0,1,0,12,1300,9,0,1.70%,6.33,
"$BTC Liquidation map! 🔥Will there be another liquidation hunt to $26.5k? @kingfisher_btc pic.twitter.com/uGLACVPSCA Mar 16, 2023",0,3,0,27,1200,24,0,4.40%,6.31,
"Don't want to miss out on the next $BTC peak? Check out this MVRV deviation cheat sheet.Long-term profit-taking can begin in the red box, or for a safer approach, start at 1.Share with friends and follow @onchain_edge . #bitcoin Not sure what levels to watch? pic.twitter.com/gMGkBp1RQc Apr 12, 2023",1,3,0,16,1300,3,0,1.80%,6.29,
"$BTC daily candle closeabove $28.3k = bullishabove $29.3k = very bullish  https:// twitter.com/onchain_edge/s tatus/1640988497044447233  … Mar 29, 2023",1,0,0,10,1300,5,0,1.30%,6.23,
"🧩 Exploring the Decrease in #Bitcoin Realized Price 📉by cryptoquant analyst @real_alexei • Realized Price: Avg cost basis of all bitcoins• Short Term (STH) & Long Term Holder Realized Price (LTH)🔽 Apr 2, 2023",2,0,0,7,1300,3,0,0.90%,6.17,
"$ETH exits for Shanghai is now at 3'382 validators$108'000 $ETH $205 million #crypto  https:// twitter.com/onchain_edge/s tatus/1645327362593296384  … Apr 11, 2023",1,1,0,5,1300,2,0,0.70%,6.14,
"Stablecoins are the lifeblood of the crypto market:A surge in supply led to a bull market; a decrease brought a bear.Will the current increase in stablecoin supply lead to a rise in #BTC prices or bring another bear market?Great quicktake by: @t0_god pic.twitter.com/mCzpf9Wda5 Feb 1, 2023",1,0,0,14,1200,11,0,2.20%,5.91,
"What a wick on $BTC ! $BTC went all the way up to $26k 🔥Market makers had to buy $BTC to stay hedged, and shorters got rekt.Are you interested in a simplified tutorial on successfully reading @kingfisher_btc #Gex charts? pic.twitter.com/Vl5ZwopJsF  https:// twitter.com/onchain_edge/s tatus/1635565104929570816  … Mar 15, 2023",3,0,0,12,1200,8,0,2%,5.84,
"$BTC buy wall is back at $25.4k. (source:  https:// t.me/gala9898  ) pic.twitter.com/s7AUbcUxhN  https:// twitter.com/onchain_edge/s tatus/1638819705678098432  … Mar 23, 2023",0,1,0,11,1200,7,8,2.30%,5.82,
"What am I doing with my $USDC ?I swapped 100% of my $USDC position into $LUSD and $USDT . The overall swap loss is around 3.5%Even though this whole ordeal is blown out of proportion. I'm just managing my risk 🫡 Mar 12, 2023",1,2,0,14,1200,3,0,1.60%,5.79,
"The crypto class of 2019 ($21.8k) and earlier are back in the green 🚀Below you can see the acquisition price of #BTC cohorts and see who came out on top during the 2022 downtrend and current rally. pic.twitter.com/5rqjtR0CKm Feb 1, 2023",2,1,0,16,1200,2,0,1.70%,5.78,
"$1billion worth of $btc , $eth and $bnb buy orders coming!binance deploying capital 🔥  https:// twitter.com/cz_binance/sta tus/1635131601884700674  … Mar 13, 2023",0,2,0,15,1200,2,0,1.60%,5.78,
"$BTC red days ahead 👀  https:// twitter.com/_Checkmatey_/s tatus/1648953523135197184  … Apr 20, 2023",2,0,0,8,1200,5,0,1.30%,5.75,
"1-3m $BTC holders taking some chips off the table 👀  https:// twitter.com/binhdangg1/sta tus/1620641593467482114  … Feb 1, 2023",0,0,0,9,1200,5,0,1.10%,5.75,
"$BTC retested major 200 Day moving average support at $19.55kBids filled at $19.7k 🔥It doesn't get easier than that 😄 pic.twitter.com/8bPH7JPdqc  https:// twitter.com/onchain_edge/s tatus/1625141269004697600  … Mar 12, 2023",0,2,0,9,1200,3,0,1.10%,5.74,
"Credit Suisse ❌Banks are dropping as flies left, and right, and $BTC is rallying.What kind of rick and morty timeline are we stuck in?  https:// twitter.com/Schuldensuehne r/status/1635994065471668225  … Mar 15, 2023",0,0,0,7,1200,1,0,0.70%,5.65,
"#Bitcoin bear market over?!The bear market recovery dashboard shows all conditions are met for a strong market trend.➡️ 8-of-8 indicators in positive territory➡️ Signals healthy market recovery #Crypto Bear market likely over! What do you think? pic.twitter.com/Fp8BLuOqEd Apr 19, 2023",4,4,0,18,1100,5,0,2.80%,5.44,
"$1'000'000 $ARB buy 🔥 #arb_whale_1 .3m_0x6eeSwapped 1,000,000 #USDC ($1,000,000) For 766,921.25 #ARB @ $1.30 @CieloFinance @uniwhalesio pic.twitter.com/0vBkUj92CE Mar 30, 2023",3,3,0,10,1100,10,0,2.30%,5.44,
"Discover the BTC Risk Index by @AxelAdlerJr 📌 Analyzes risks in the #cryptocurrency market📌 Based on Delta Cap & Market Cap shiftsKey insights:🔽 Index decreased from 3.34 to 1.78 (Nov 20, 2022 - present)🔼 BTC price up from 16.8K to 28.4K pic.twitter.com/wjYwtGW1wM Apr 2, 2023",2,1,0,11,1100,5,0,1.70%,5.32,
"Here's an excellent thread on $PEPE wallet watching by @cryptokoryo with alpha inside!  https:// twitter.com/CryptoKoryo/st atus/1649334553209708544  … Apr 21, 2023",1,1,0,6,1100,7,0,1.40%,5.31,
"I appreciate all the killer content you guys put out every day. ❤️  https:// twitter.com/MI_Algos/statu s/1638713548707700737  … Mar 23, 2023",0,2,0,8,1100,5,0,1.40%,5.30,
"A possible scenario for $LDO over the next few monthsGreat accumulation below $1.40Idea gets invalidated with a break and close over $2.80 pic.twitter.com/n3ZkeJwPYX Feb 1, 2023",0,0,0,10,1100,5,0,1.40%,5.29,
"The ETHBTC chart is looking fire!Currently at 0.0665Rotating some BTC into ETH might be a good play 😉 pic.twitter.com/uXp2O2q1wr Mar 18, 2023",0,0,0,13,1100,3,0,1.50%,5.28,
"$OP just kissed the trendline at $2.46 pic.twitter.com/oBYm5CUHRL  https:// twitter.com/onchain_edge/s tatus/1622059315535433729  … Feb 9, 2023",1,0,0,3,1100,6,0,0.90%,5.25,
"$LINK wicked into the accumulation range between $5-6It will probably break into this range this week.If you are bullish on $link this might be a good play. pic.twitter.com/7OUzbRQoa9  https:// twitter.com/onchain_edge/s tatus/1624277922524844032  … Mar 12, 2023",1,0,0,7,1100,3,0,1%,5.23,
"$ETH broke above the weekly bear flag.Now the candle needs to close above the flat otherwise, it's just a fakeout.Support at: $1'579Major resistance: $1'980 pic.twitter.com/lUsU93EZXo Feb 2, 2023",0,0,0,15,1000,5,0,2%,4.87,
"Ever wonder what smart money on ethereum is holding at the moment? $USDC 19% $LDO 8.81% $aSTETH 4.68% $UNI 4.19% $TKX 3.7% $WBTC 3.65% $USDT 3.28% $WETH 3.14% $DAI 2.87% $Other 47%data from @nansen_ai pic.twitter.com/zcrTHB4Iyr Feb 2, 2023",1,0,0,8,1000,8,0,1.70%,4.87,
"ETH 2.0 Shapella Update: ~76.5k ETH ($152.88M) set for withdrawal in the next 11hrs!Total pending withdrawal: 890.93k ETH ($1.78B) across 307.55k validators.ETH Price $1993.63 (+3.97%)Not bearish as many expected! 📈 #Ethereum #Shapella #ETH2 pic.twitter.com/TXhazdKzNY Apr 13, 2023",0,1,0,11,1000,5,0,1.60%,4.85,
"How correlated are $BTC and Gold?➡️ 30-day, 90-day, 365-day correlations positive➡️ Investors consider sound moneySound money like $BTC is gaining traction! $BTC is the better hedge! $BTC or gold? pic.twitter.com/TGM7tTijqw Apr 19, 2023",1,0,0,15,1000,3,0,1.80%,4.84,
"#bitcoin levels to watch this week 🔥➡️ Range high sweep at $32'300➡️ Accumulation range 1 at $25'000Are you taking profit on $btc ? pic.twitter.com/r58iANO5UC Apr 18, 2023",1,1,0,15,1000,2,0,1.90%,4.84,
"Stablecoin dominance hit the 12% resistance a lot faster than expected. Let's see if it moves higher. pic.twitter.com/ax0AWDkWZl Mar 3, 2023",0,0,0,13,1000,4,0,1.70%,4.84,
"#altcoin market wicked down to $500 billionMajor support (previously major resistance)If we stay above that support, we can expect another eye-watering rally.Want to know what levels to watch? pic.twitter.com/Mdz7YSOiTd Apr 19, 2023",4,0,0,10,1000,0,0,1.30%,4.75,
"Before the Ethereum merge, going long on tokens related to $ETH was more profitable.i.e $ETC , $LDO , $RPL , $OP A 1000 IQ move might be to anticipate a similar rally leading up to the Shanghai upgrade.Credits to @rwekang  https:// twitter.com/Rewkang/status /1635317011793444868  … Mar 14, 2023",0,0,1,4,1000,0,0,0.50%,4.68,
"The Huge $BTC sell wall at $25k is being removed.It's now only 550 BTC pic.twitter.com/yvuFs9iYTW Mar 16, 2023",3,2,0,19,88,31,0,6.20%,1.20,
"The estimated leverage ratio for $BTC -margined Bitcoin futures has dropped significantly.This suggests a more cautious approach among traders,indicating the market is not yet heavily influenced by latecomers using excessive leverage.This is good!source: @CryptoAlliance_ pic.twitter.com/dV6KQYF88K Mar 20, 2023",1,0,0,12,98,8,0,2.10%,0.72,
"$DYDX tradeidea 🔥Good accumulation range for the long-term between $1.50 and $1.90 pic.twitter.com/oH9QQvyDIx Mar 9, 2023",0,1,0,8,99,8,0,1.70%,0.70,
"$BTC Net unrealized profits and losses broke above resistance on the daily timeframe 🔥Let's see if it holds. pic.twitter.com/hDIJxqLTtt Mar 14, 2023",0,1,0,6,98,8,0,1.50%,0.67,
"Bitcoin Bulls, brace yourselves! 🔥➡️ Inflows surged by 350% this week- the highest since FTX.➡️ Exchange supply rose 1.6% in 3 days.➡️ Price up 36% Profit-taking inflows are absorbed, but demand could falter.Keep a close eye on macro and banking news. @1mrpapi Mar 15, 2023",1,2,0,10,88,6,0,2.10%,0.65,
"Good $BTC long 🔥Let me know if you want a thread explaining the indicator I'm using.I'll write a thread if this tweet gets over 100 likes!  https:// twitter.com/onchain_edge/s tatus/1636903617134481409  … Mar 20, 2023",1,0,0,18,74,5,0,3.20%,0.61,
"The global crypto market just broke above the major $1T resistance!Are you positioned well for a rally or sidelined in stables? pic.twitter.com/JFbyemdtZB Apr 5, 2023",1,0,0,13,92,2,0,1.70%,0.59,
"New Entities (30D-SMA) could break all-time highs by reaching 378.5k,indicating increasing adoption and network effects. #MomentumOnChain #Bitcoin pic.twitter.com/LLDztznyWC Mar 21, 2023",11,1,0,8,83,3,0,2.70%,0.58,
"🔔 Transaction Counts (30D-SMA) could break all-time-highs by reaching 379k, indicating bullish market conditions. #MomentumOnchain #Bitcoin pic.twitter.com/IN14bpDFv6 Mar 21, 2023",11,1,0,5,91,2,0,2.10%,0.57,
"Are you going to #ethereum zürich? @pwndao Apr 14, 2023",13,0,0,1,77,7,0,2.70%,0.56,
"Hey there! If you're paying attention, you know crypto market volatility is real.My weekly newsletter simplifies the chaos and provides leading indicators on where $BTC and $ETH might go next.Catch the next issue tomorrow!(7-day free trial)  https:// onchainedge.substack.com /  Mar 14, 2023",2,2,0,7,81,4,8,2.80%,0.55,
"Probably nothing... I just applied to Alchemy University ( @AlchemyLearn ) to earn my free web3 degree!  Applications are open to everyone! LFG!!!  https:// university.alchemy.com /  @AlchemyLearn Mar 19, 2023",1,2,0,6,85,3,14,3%,0.54,
"There might be a small bounce for $OP at $2.40Previous targets still stand.  https:// twitter.com/onchain_edge/s tatus/1622059315535433729  … Feb 6, 2023",0,0,0,3,96,3,0,0.60%,0.53,
"Do Kwon arrested #terraluna  https:// twitter.com/filip_adzic/st atus/1638886164118802432  … Mar 23, 2023",0,0,0,5,99,1,0,0.60%,0.52,
"Someone just spent 19ETH ($32k) on an ETH transactionEither fat fingers or money laundering.  https:// etherscan.io/tx/0x7490266dd d22c71579535b5c5785fc7616cd73e9b3432c3f6cfe078b269f863e  … pic.twitter.com/9QgWtKOZez Feb 3, 2023",0,1,0,6,85,3,4,1.60%,0.52,
"$BTC simple pic.twitter.com/e0DOgcDPej Mar 20, 2023",1,0,0,12,75,2,0,2%,0.50,
"Arbitrum to drop $ARBI token on the 23rd of March 😱 Mar 16, 2023",0,0,0,4,84,4,0,1%,0.50,
"Crypto Market's Fear & Greed Index:  63Time to buy or sell?When the meme coins like $pepe $chat start pumping like crazy, it's normally a topping sign.Either way, the market is greedy atm.Do you know what it means? $btc #cryptocurrency pic.twitter.com/psrEFDT21W Apr 19, 2023",1,1,0,9,81,1,0,1.50%,0.50,
"Did you buy some $BTC in the accumulation range or fade the dip?Like always, I wish I bought more.Upside volatility caught me off guard 😂  https:// twitter.com/onchain_edge/s tatus/1634118273536253954  … Mar 14, 2023",0,0,0,5,93,1,0,0.60%,0.50,
"Just published a free newsletter explaining all the complex options jargon as well as how to read GEX+ charts: #GEX @kingfisher_btc  https:// onchainedge.substack.com/p/dancing-with -gamma-unraveling-the  … Mar 17, 2023",1,1,0,9,74,2,12,3.40%,0.48,
"Microsoft's Edge crypto wallet is a step in the right direction for mainstream cryptocurrency adoption.Excited to see where this leads and how it could potentially impact the Web3  https://www. theblock.co/post/221014/mi crosoft-testing-crypto-wallet-in-its-web-browser-edge-bleeping-computer  … Mar 20, 2023",1,2,0,9,66,2,8,3.30%,0.46,
"$FXS long signal on the daily timeframe $9.48 🔥S/L: $8.50 pic.twitter.com/xLD4IhWtIt Apr 5, 2023",0,0,0,6,70,4,0,1.40%,0.45,
"#Binance is safe! 🥳  https:// twitter.com/jimcramer/stat us/1641710177534595075  … Mar 31, 2023",0,1,0,7,72,1,0,1.20%,0.43,
"Stocks and crypto set to rally as US dollar index freefalls, here's what to watch for!  https:// onchainedge.substack.com/p/stocks-and-c rypto-set-to-rally-as  … Apr 6, 2023",6,0,0,3,68,3,17,4.20%,0.43,
"$NDX had a 3-day close above $13kFurthermore, the index made a higher high ▶️ Bullish for stocks & crypto pic.twitter.com/xX9PeM5Dr6 Apr 5, 2023",0,0,0,1,65,6,0,1.10%,0.42,
"Altcoin Angst: Will the Crypto Market Rise Above the Clouds or Stay Stuck in the Mist?Dive into the newest weekly report for cutting-edge insights and analysis on the latest $BTC & $ETH trends!  https:// onchainedge.substack.com/p/altcoin-angs t-will-the-crypto-market  … Mar 29, 2023",1,0,0,4,65,4,12,3.20%,0.42,
"This wallet just bought 1'250 ETH worth of $ARB in the last 10min 🔥  https:// debank.com/profile/0x1dd9 9ee52d7649c8daceaf5e669b6a117c7b894f/history  … Apr 5, 2023",0,0,0,5,67,3,18,3.80%,0.41,
"5 things to do when the #crypto market is tanking :1. Preserve capital2. Reallocate your assets3. Research opportunities4. Recognise buying opportunities5. Avoid panic selling! #btc #eth Apr 22, 2023",0,2,0,9,65,0,0,1.70%,0.41,
"Total short liquidations 🔥 #btc #eth Value liquidated:▶️$ 16.56M | ≈ 558.35 BTC▶️$ 5.14M | ≈ 2.70K ETH |▶️$ 709.71K | ≈ 571.10K ARB pic.twitter.com/66vHh27B6J Apr 11, 2023",0,1,0,6,73,0,0,0.90%,0.41,
"If you've been enjoying my threads and want more in-depth $BTC and $ETH weekly market analysis, as well as supporting the @onchain_edge Then I highly recommend signing up for the OE substack:  https:// onchainedge.substack.com/p/breakout-or- breakdown-in-march-btc  … Mar 3, 2023",0,1,0,7,63,2,40,7.80%,0.41,
"The $ETH staking withdrawal fear will present incredible buying opportunities leading up to and after the Shanghai upgrade.  https:// twitter.com/korpi87/status /1620407242410594307  … Feb 1, 2023",0,0,0,2,80,1,0,0.40%,0.41,
"new #bitcoin daily high ➡️$30,000 Apr 11, 2023",0,1,0,6,67,1,0,1.20%,0.40,
"The Low Volatility Blues:How to Wait for Good Opportunities in the MarketThis week's $BTC technical analysis newsletter has been sent out on Substack:  https:// substack.com/inbox/post/107 148023  … Mar 8, 2023",0,0,0,5,64,3,36,6.80%,0.40,
"Arbitrum TVL (1.8bn) > Polygon TVL (1.04b)IMO $ARB will easily go above $10 Mar 20, 2023",0,0,0,5,62,3,0,1.30%,0.39,
"Learn about Bitcoin supply distribution and how smaller holders are growing their share of the Bitcoin pie.  https:// insights.glassnode.com/the-week-oncha in-week-12-2023/  … written by: @_Checkmatey_ pic.twitter.com/4q7Ik8DZ9y Mar 21, 2023",0,0,0,2,64,3,5,1.60%,0.37,
"Would you like some threads on smart money wallet-watching?Most people get rekt following popular wallets. 🙈 #crypto #eth Apr 21, 2023",0,0,0,2,56,4,0,1.10%,0.35,
"Stock index $ES is showing strength. What does that mean for crypto? $ES at $4'129 (S&P E-mini futures)An S&P500 break above $4'148 would mean a higher high for the index.Most likely crypto will also follow suit. #btc #eth pic.twitter.com/ZiEXw1PPYm Apr 5, 2023",1,0,0,2,70,0,0,0.40%,0.35,
"Close long signal on BTCUSD @ 28358.2 (4h timeframe)Posting for transparency  https:// twitter.com/onchain_edge/s tatus/1640988497044447233  … Mar 30, 2023",1,0,0,4,48,4,0,1.90%,0.34,
"This year I'm grinding and want to create the best like-minded communityOnchain Edge Premium is just the beginningI can't reveal much atm.  https:// forms.gle/NY3xnnF168bWyo HCA  … 🗣️ Fill out the form + RT for Whitelist 👀 Feb 15, 2023",2,2,0,3,50,2,10,3.80%,0.33,
"Want to understand market cycles from a mining revenue perspective? Check out the Puell Multiple.  https://www. lookintobitcoin.com/charts/puell-m ultiple/  … Feb 3, 2023",1,2,0,3,53,1,13,3.70%,0.32,
"What type of tutorials would help you the most? Mar 29, 2023",0,0,0,4,57,1,0,0.90%,0.32,
"Onchain Edge: Breakout or Breakdown in March? BTC & ETH On-Chain Analysis  https:// onchainedge.substack.com/p/breakout-or- breakdown-in-march-btc?utm_source=twitter&utm_campaign=auto_share&r=367y3  … Mar 2, 2023",0,0,0,2,48,3,58,12.90%,0.30,
"Are you a trader or a gambler?Great read from @0xkyle__  https:// 0xkyle.substack.com/p/are-you-a-tr ader-or-are-you-just?sd=pf  … Feb 2, 2023",0,1,0,4,42,2,8,3.50%,0.28,
"Good morning! $BTC to $29k-31k is a matter of time.Altcoins will follow later.I'm taking some profits on this move up  https:// twitter.com/onchain_edge/s tatus/1636903617134481409  … Mar 20, 2023",0,0,0,3,35,2,0,1.40%,0.23,
"Big thanks to @Checkmatey for his excellent articles on @glassnode !Thanks to him, I've learned much about onchain analysis and how it can inform investment decisions.Grateful for the help! #btc #bitcoin Apr 11, 2023",0,0,0,3,26,4,0,2.70%,0.22,
"Will $BTC continue to rally?Not sure what $BTC and $ETH levels to watch?Don't worry. I've got you covered.Here's the latest onchain edge newsletter. (7-day free trial)It comes out every week!  https:// onchainedge.substack.com/p/navigating-t he-financial-seas-rate  … Apr 12, 2023",0,0,0,3,35,1,8,3.40%,0.21,
"This year I'm grinding and want to create the best like-minded communityOnchain Edge Premium is just the beginningI can't reveal much atm. Maybe allowlist?  https:// forms.gle/NY3xnnF168bWyo HCA  … 🗣️ Fill out the form + RT for Whitelist 👀 Feb 15, 2023",0,2,0,1,14,3,7,8.80%,0.16,
"S&P500 is at $4'070 next resistance is $4'168It's following the move I outlined in my newsletter on Wednesday.This is bullish for crypto. pic.twitter.com/Xc8NcGyG39 Mar 31, 2023",0,0,0,3,12,1,0,3.30%,0.10,
"$BTC market levels 🔥➡️ $16.7k ($10m sell orders) = resistance➡️ $16k ($7m buy orders) = supportCurrent volatility is incredibly low. Let's see what happens when the stock market opens today. Don't get liquidated on low vol. @Mtrl_Scientist #firecharts Feb 6, 2023",0,0,0,0,0,0,0,-,0.00,
